date,start,stop,distance,calories,steps
2020-09-08,22:01,22:07,173,4,251
2020-09-08,20:22,20:47,181,6,262
2020-09-09,21:51,21:59,303,9,439
2020-09-09,21:25,21:32,204,5,296
2020-09-09,19:37,19:44,164,6,238
2020-09-09,14:45,14:51,226,7,328
2020-09-09,14:16,14:21,107,4,156
2020-09-09,14:02,14:06,179,6,259
2020-09-09,13:06,13:18,280,7,406
2020-09-09,12:46,13:04,100,4,145
2020-09-09,12:40,12:45,121,3,175
2020-09-10,20:59,21:05,163,5,236
2020-09-10,19:23,19:32,145,5,211
2020-09-10,16:54,16:59,145,3,210
2020-09-10,16:41,16:45,143,3,207
2020-09-10,15:04,15:13,177,5,256
2020-09-10,14:46,14:52,154,4,223
2020-09-10,13:25,13:29,171,5,248
2020-09-11,23:42,23:46,121,3,176
2020-09-11,23:02,23:20,611,22,884
2020-09-11,22:07,22:15,226,6,327
2020-09-11,20:07,20:22,187,6,271
2020-09-11,18:55,19:13,164,4,238
2020-09-11,17:35,18:30,5324,210,6284
2020-09-11,17:15,17:34,428,14,616
2020-09-11,14:02,14:08,165,5,239
2020-09-11,13:41,13:51,164,5,238
2020-09-12,23:41,23:54,153,6,222
2020-09-12,22:14,22:30,174,5,252
2020-09-12,20:30,20:35,112,4,162
2020-09-12,20:14,20:26,69,2,101
2020-09-12,19:13,19:17,92,3,133
2020-09-12,18:47,19:08,83,3,121
2020-09-12,16:24,16:30,143,3,207
2020-09-12,13:21,14:09,218,12,316
2020-09-12,13:15,13:19,127,4,184
2020-09-12,12:46,12:50,97,2,141
2020-09-12,12:29,12:45,165,5,239
2020-09-12,12:09,12:14,111,3,161
2020-09-12,11:23,11:28,109,3,158
2020-09-12,10:36,10:54,69,2,101
2020-09-13,23:39,23:51,186,5,270
2020-09-13,22:06,22:10,174,5,252
2020-09-13,21:17,21:26,260,8,377
2020-09-13,20:19,20:29,112,3,162
2020-09-13,19:17,19:28,280,8,405
2020-09-13,18:06,18:20,411,14,584
2020-09-13,17:50,18:05,105,3,153
2020-09-13,17:22,17:29,157,5,228
2020-09-13,16:32,17:09,775,25,1121
2020-09-13,16:10,16:19,213,8,309
2020-09-13,15:40,15:59,234,8,339
2020-09-13,14:59,15:03,332,13,462
2020-09-13,13:47,14:01,168,5,236
2020-09-13,13:08,13:12,151,5,219
2020-09-13,11:52,11:56,160,4,232
2020-09-13,10:51,10:55,138,4,200
2020-09-14,22:34,22:38,116,4,169
2020-09-14,20:41,20:49,233,7,337
2020-09-14,20:06,20:21,121,4,176
2020-09-14,18:41,19:37,5533,215,6398
2020-09-14,12:28,12:33,163,4,236
2020-09-14,12:10,12:14,107,3,156
2020-09-14,07:26,07:33,98,3,142
2020-09-15,23:24,23:29,132,4,192
2020-09-15,20:34,20:41,163,5,236
2020-09-15,16:40,17:25,4479,174,5209
2020-09-15,16:26,16:39,424,13,613
2020-09-15,13:36,13:40,139,3,201
2020-09-15,10:22,10:26,181,5,263
